23-Mar-22 00:06:18 - scrapy.utils.log - INFO - Scrapy 2.5.1 started (bot: scrapybot)
23-Mar-22 00:06:18 - scrapy.utils.log - INFO - Versions: lxml 4.6.3.0, libxml2 2.9.10, cssselect 1.1.0, parsel 1.6.0, w3lib 1.22.0, Twisted 20.3.0, Python 3.9.10 (main, Jan 16 2022, 17:12:18) - [GCC 11.2.0], pyOpenSSL 21.0.0 (OpenSSL 1.1.1m  14 Dec 2021), cryptography 3.4.8, Platform Linux-5.9.0-kali1-amd64-x86_64-with-glibc2.33
23-Mar-22 00:06:18 - scrapy.utils.log - DEBUG - Using reactor: twisted.internet.epollreactor.EPollReactor
23-Mar-22 00:06:18 - scrapy.crawler - INFO - Overridden settings:
{'CONCURRENT_REQUESTS': 15,
 'LOG_LEVEL': 'CRITICAL',
 'RETRY_ENABLED': False,
 'USER_AGENT': 'Sitadel 1.0.1'}
23-Mar-22 00:06:18 - scrapy.extensions.telnet - INFO - Telnet Password: a71ba48511ade9a4
23-Mar-22 00:06:18 - scrapy.middleware - INFO - Enabled extensions:
['scrapy.extensions.corestats.CoreStats',
 'scrapy.extensions.telnet.TelnetConsole',
 'scrapy.extensions.memusage.MemoryUsage',
 'scrapy.extensions.logstats.LogStats']
23-Mar-22 00:06:18 - scrapy.middleware - INFO - Enabled downloader middlewares:
['scrapy.downloadermiddlewares.httpauth.HttpAuthMiddleware',
 'scrapy.downloadermiddlewares.downloadtimeout.DownloadTimeoutMiddleware',
 'scrapy.downloadermiddlewares.defaultheaders.DefaultHeadersMiddleware',
 'scrapy.downloadermiddlewares.useragent.UserAgentMiddleware',
 'scrapy.downloadermiddlewares.redirect.MetaRefreshMiddleware',
 'scrapy.downloadermiddlewares.httpcompression.HttpCompressionMiddleware',
 'scrapy.downloadermiddlewares.redirect.RedirectMiddleware',
 'scrapy.downloadermiddlewares.cookies.CookiesMiddleware',
 'scrapy.downloadermiddlewares.httpproxy.HttpProxyMiddleware',
 'scrapy.downloadermiddlewares.stats.DownloaderStats']
23-Mar-22 00:06:18 - scrapy.middleware - INFO - Enabled spider middlewares:
['scrapy.spidermiddlewares.httperror.HttpErrorMiddleware',
 'scrapy.spidermiddlewares.offsite.OffsiteMiddleware',
 'scrapy.spidermiddlewares.referer.RefererMiddleware',
 'scrapy.spidermiddlewares.urllength.UrlLengthMiddleware',
 'scrapy.spidermiddlewares.depth.DepthMiddleware']
23-Mar-22 00:06:18 - scrapy.middleware - INFO - Enabled item pipelines:
[]
23-Mar-22 00:06:18 - scrapy.core.engine - INFO - Spider opened
23-Mar-22 00:06:18 - scrapy.extensions.logstats - INFO - Crawled 0 pages (at 0 pages/min), scraped 0 items (at 0 items/min)
23-Mar-22 00:06:18 - scrapy.extensions.telnet - INFO - Telnet console listening on 127.0.0.1:6023
23-Mar-22 00:09:19 - urllib3.connectionpool - DEBUG - Starting new HTTP connection (1): www.normalwebsite.com:80
23-Mar-22 00:09:19 - urllib3.connectionpool - DEBUG - Starting new HTTP connection (1): www.normalwebsite.com:80
23-Mar-22 00:09:19 - urllib3.connectionpool - DEBUG - Starting new HTTP connection (1): www.normalwebsite.com:80
23-Mar-22 00:09:19 - urllib3.connectionpool - DEBUG - Starting new HTTP connection (1): www.normalwebsite.com:80
23-Mar-22 00:09:19 - urllib3.connectionpool - DEBUG - Starting new HTTP connection (1): www.normalwebsite.com:80
23-Mar-22 00:09:20 - urllib3.connectionpool - DEBUG - http://www.normalwebsite.com:80 "HEAD /_private~/ HTTP/1.1" 404 0
23-Mar-22 00:09:20 - urllib3.connectionpool - DEBUG - Starting new HTTP connection (1): www.normalwebsite.com:80
23-Mar-22 00:09:20 - urllib3.connectionpool - DEBUG - http://www.normalwebsite.com:80 "HEAD /_private.zip HTTP/1.1" 404 0
23-Mar-22 00:09:20 - urllib3.connectionpool - DEBUG - Starting new HTTP connection (1): www.normalwebsite.com:80
23-Mar-22 00:09:20 - urllib3.connectionpool - DEBUG - http://www.normalwebsite.com:80 "HEAD /_private.old/ HTTP/1.1" 404 0
23-Mar-22 00:09:20 - urllib3.connectionpool - DEBUG - Starting new HTTP connection (1): www.normalwebsite.com:80
23-Mar-22 00:09:20 - urllib3.connectionpool - DEBUG - http://www.normalwebsite.com:80 "HEAD /_private.bak/ HTTP/1.1" 404 0
23-Mar-22 00:09:20 - urllib3.connectionpool - DEBUG - Starting new HTTP connection (1): www.normalwebsite.com:80
23-Mar-22 00:09:20 - urllib3.connectionpool - DEBUG - http://www.normalwebsite.com:80 "HEAD /_private.rar HTTP/1.1" 404 0
23-Mar-22 00:09:20 - urllib3.connectionpool - DEBUG - Starting new HTTP connection (1): www.normalwebsite.com:80
23-Mar-22 00:09:20 - urllib3.connectionpool - DEBUG - http://www.normalwebsite.com:80 "HEAD /_private.tar HTTP/1.1" 404 0
23-Mar-22 00:09:20 - urllib3.connectionpool - DEBUG - Starting new HTTP connection (1): www.normalwebsite.com:80
23-Mar-22 00:09:20 - urllib3.connectionpool - DEBUG - http://www.normalwebsite.com:80 "HEAD /_private.bac/ HTTP/1.1" 404 0
23-Mar-22 00:09:20 - urllib3.connectionpool - DEBUG - http://www.normalwebsite.com:80 "HEAD /_private.backup/ HTTP/1.1" 404 0
23-Mar-22 00:09:20 - urllib3.connectionpool - DEBUG - Starting new HTTP connection (1): www.normalwebsite.com:80
23-Mar-22 00:09:20 - urllib3.connectionpool - DEBUG - Starting new HTTP connection (1): www.normalwebsite.com:80
23-Mar-22 00:09:21 - urllib3.connectionpool - DEBUG - http://www.normalwebsite.com:80 "HEAD /_private_old/ HTTP/1.1" 404 0
23-Mar-22 00:09:21 - urllib3.connectionpool - DEBUG - Starting new HTTP connection (1): www.normalwebsite.com:80
23-Mar-22 00:09:21 - urllib3.connectionpool - DEBUG - http://www.normalwebsite.com:80 "HEAD /_private_backup/ HTTP/1.1" 404 0
23-Mar-22 00:09:21 - urllib3.connectionpool - DEBUG - Starting new HTTP connection (1): www.normalwebsite.com:80
23-Mar-22 00:09:21 - urllib3.connectionpool - DEBUG - http://www.normalwebsite.com:80 "HEAD /_private1/ HTTP/1.1" 404 0
23-Mar-22 00:09:21 - urllib3.connectionpool - DEBUG - Starting new HTTP connection (1): www.normalwebsite.com:80
23-Mar-22 00:09:21 - urllib3.connectionpool - DEBUG - http://www.normalwebsite.com:80 "HEAD /_private_bak/ HTTP/1.1" 404 0
23-Mar-22 00:09:21 - urllib3.connectionpool - DEBUG - Starting new HTTP connection (1): www.normalwebsite.com:80
23-Mar-22 00:09:21 - urllib3.connectionpool - DEBUG - http://www.normalwebsite.com:80 "HEAD /_vti_bin~/ HTTP/1.1" 404 0
23-Mar-22 00:09:21 - urllib3.connectionpool - DEBUG - Starting new HTTP connection (1): www.normalwebsite.com:80
23-Mar-22 00:09:21 - urllib3.connectionpool - DEBUG - http://www.normalwebsite.com:80 "HEAD /_vti_bin.zip HTTP/1.1" 404 0
23-Mar-22 00:09:21 - urllib3.connectionpool - DEBUG - Starting new HTTP connection (1): www.normalwebsite.com:80
23-Mar-22 00:09:21 - urllib3.connectionpool - DEBUG - http://www.normalwebsite.com:80 "HEAD /_vti_bin.tar HTTP/1.1" 404 0
23-Mar-22 00:09:21 - urllib3.connectionpool - DEBUG - Starting new HTTP connection (1): www.normalwebsite.com:80
23-Mar-22 00:09:21 - urllib3.connectionpool - DEBUG - http://www.normalwebsite.com:80 "HEAD /_private2/ HTTP/1.1" 404 0
23-Mar-22 00:09:21 - urllib3.connectionpool - DEBUG - Starting new HTTP connection (1): www.normalwebsite.com:80
23-Mar-22 00:09:21 - urllib3.connectionpool - DEBUG - http://www.normalwebsite.com:80 "HEAD /_vti_bin.rar HTTP/1.1" 404 0
23-Mar-22 00:09:21 - urllib3.connectionpool - DEBUG - Starting new HTTP connection (1): www.normalwebsite.com:80
23-Mar-22 00:09:21 - urllib3.connectionpool - DEBUG - http://www.normalwebsite.com:80 "HEAD /_vti_bin.old/ HTTP/1.1" 404 0
23-Mar-22 00:09:21 - urllib3.connectionpool - DEBUG - Starting new HTTP connection (1): www.normalwebsite.com:80
23-Mar-22 00:09:21 - urllib3.connectionpool - DEBUG - http://www.normalwebsite.com:80 "HEAD /_vti_bin.backup/ HTTP/1.1" 404 0
23-Mar-22 00:09:21 - urllib3.connectionpool - DEBUG - Starting new HTTP connection (1): www.normalwebsite.com:80
23-Mar-22 00:09:21 - urllib3.connectionpool - DEBUG - http://www.normalwebsite.com:80 "HEAD /_vti_bin.bak/ HTTP/1.1" 404 0
23-Mar-22 00:09:21 - urllib3.connectionpool - DEBUG - Starting new HTTP connection (1): www.normalwebsite.com:80
23-Mar-22 00:09:21 - urllib3.connectionpool - DEBUG - http://www.normalwebsite.com:80 "HEAD /_vti_bin_backup/ HTTP/1.1" 404 0
23-Mar-22 00:09:21 - urllib3.connectionpool - DEBUG - Starting new HTTP connection (1): www.normalwebsite.com:80
23-Mar-22 00:09:21 - urllib3.connectionpool - DEBUG - http://www.normalwebsite.com:80 "HEAD /_vti_bin_old/ HTTP/1.1" 404 0
23-Mar-22 00:09:21 - urllib3.connectionpool - DEBUG - Starting new HTTP connection (1): www.normalwebsite.com:80
23-Mar-22 00:09:21 - urllib3.connectionpool - DEBUG - http://www.normalwebsite.com:80 "HEAD /_vti_bin_bak/ HTTP/1.1" 404 0
23-Mar-22 00:09:21 - urllib3.connectionpool - DEBUG - Starting new HTTP connection (1): www.normalwebsite.com:80
23-Mar-22 00:09:21 - urllib3.connectionpool - DEBUG - http://www.normalwebsite.com:80 "HEAD /_vti_bin.bac/ HTTP/1.1" 404 0
23-Mar-22 00:09:21 - urllib3.connectionpool - DEBUG - Starting new HTTP connection (1): www.normalwebsite.com:80
23-Mar-22 00:09:22 - urllib3.connectionpool - DEBUG - http://www.normalwebsite.com:80 "HEAD /_vti_bin1/ HTTP/1.1" 404 0
23-Mar-22 00:09:22 - urllib3.connectionpool - DEBUG - Starting new HTTP connection (1): www.normalwebsite.com:80
23-Mar-22 00:09:22 - urllib3.connectionpool - DEBUG - http://www.normalwebsite.com:80 "HEAD /_vti_bin2/ HTTP/1.1" 404 0
23-Mar-22 00:09:22 - urllib3.connectionpool - DEBUG - Starting new HTTP connection (1): www.normalwebsite.com:80
23-Mar-22 00:09:22 - urllib3.connectionpool - DEBUG - http://www.normalwebsite.com:80 "HEAD /cgi-bin~/ HTTP/1.1" 404 0
23-Mar-22 00:09:22 - urllib3.connectionpool - DEBUG - Starting new HTTP connection (1): www.normalwebsite.com:80
23-Mar-22 00:09:22 - urllib3.connectionpool - DEBUG - http://www.normalwebsite.com:80 "HEAD /cgi-bin.zip HTTP/1.1" 404 0
23-Mar-22 00:09:22 - urllib3.connectionpool - DEBUG - Starting new HTTP connection (1): www.normalwebsite.com:80
23-Mar-22 00:09:22 - urllib3.connectionpool - DEBUG - http://www.normalwebsite.com:80 "HEAD /cgi-bin.tar HTTP/1.1" 404 0
23-Mar-22 00:09:22 - urllib3.connectionpool - DEBUG - Starting new HTTP connection (1): www.normalwebsite.com:80
23-Mar-22 00:09:22 - urllib3.connectionpool - DEBUG - http://www.normalwebsite.com:80 "HEAD /cgi-bin.rar HTTP/1.1" 404 0
23-Mar-22 00:09:22 - urllib3.connectionpool - DEBUG - Starting new HTTP connection (1): www.normalwebsite.com:80
23-Mar-22 00:09:22 - urllib3.connectionpool - DEBUG - http://www.normalwebsite.com:80 "HEAD /cgi-bin.old/ HTTP/1.1" 404 0
23-Mar-22 00:09:22 - urllib3.connectionpool - DEBUG - http://www.normalwebsite.com:80 "HEAD /cgi-bin.bak/ HTTP/1.1" 404 0
23-Mar-22 00:09:22 - urllib3.connectionpool - DEBUG - Starting new HTTP connection (1): www.normalwebsite.com:80
23-Mar-22 00:09:22 - urllib3.connectionpool - DEBUG - Starting new HTTP connection (1): www.normalwebsite.com:80
23-Mar-22 00:09:23 - urllib3.connectionpool - DEBUG - http://www.normalwebsite.com:80 "HEAD /cgi-bin.bac/ HTTP/1.1" 404 0
23-Mar-22 00:09:23 - urllib3.connectionpool - DEBUG - Starting new HTTP connection (1): www.normalwebsite.com:80
23-Mar-22 00:09:23 - urllib3.connectionpool - DEBUG - http://www.normalwebsite.com:80 "HEAD /cgi-bin_old/ HTTP/1.1" 404 0
23-Mar-22 00:09:23 - urllib3.connectionpool - DEBUG - Starting new HTTP connection (1): www.normalwebsite.com:80
23-Mar-22 00:09:23 - urllib3.connectionpool - DEBUG - http://www.normalwebsite.com:80 "HEAD /cgi-bin_bak/ HTTP/1.1" 404 0
23-Mar-22 00:09:23 - urllib3.connectionpool - DEBUG - Starting new HTTP connection (1): www.normalwebsite.com:80
23-Mar-22 00:09:23 - urllib3.connectionpool - DEBUG - http://www.normalwebsite.com:80 "HEAD /cgi-bin1/ HTTP/1.1" 404 0
23-Mar-22 00:09:23 - urllib3.connectionpool - DEBUG - Starting new HTTP connection (1): www.normalwebsite.com:80
23-Mar-22 00:09:23 - urllib3.connectionpool - DEBUG - http://www.normalwebsite.com:80 "HEAD /cgi-bin_backup/ HTTP/1.1" 404 0
23-Mar-22 00:09:23 - urllib3.connectionpool - DEBUG - Starting new HTTP connection (1): www.normalwebsite.com:80
23-Mar-22 00:09:23 - urllib3.connectionpool - DEBUG - http://www.normalwebsite.com:80 "HEAD /cgi-bin.backup/ HTTP/1.1" 404 0
23-Mar-22 00:09:23 - urllib3.connectionpool - DEBUG - Starting new HTTP connection (1): www.normalwebsite.com:80
23-Mar-22 00:09:23 - urllib3.connectionpool - DEBUG - http://www.normalwebsite.com:80 "HEAD /cgi-sys~/ HTTP/1.1" 404 0
23-Mar-22 00:09:23 - urllib3.connectionpool - DEBUG - Starting new HTTP connection (1): www.normalwebsite.com:80
23-Mar-22 00:09:23 - urllib3.connectionpool - DEBUG - http://www.normalwebsite.com:80 "HEAD /cgi-bin2/ HTTP/1.1" 404 0
23-Mar-22 00:09:23 - urllib3.connectionpool - DEBUG - Starting new HTTP connection (1): www.normalwebsite.com:80
23-Mar-22 00:09:23 - urllib3.connectionpool - DEBUG - http://www.normalwebsite.com:80 "HEAD /cgi-sys.tar HTTP/1.1" 404 0
23-Mar-22 00:09:23 - urllib3.connectionpool - DEBUG - Starting new HTTP connection (1): www.normalwebsite.com:80
23-Mar-22 00:09:23 - urllib3.connectionpool - DEBUG - http://www.normalwebsite.com:80 "HEAD /cgi-sys.rar HTTP/1.1" 404 0
23-Mar-22 00:09:23 - urllib3.connectionpool - DEBUG - Starting new HTTP connection (1): www.normalwebsite.com:80
23-Mar-22 00:09:23 - urllib3.connectionpool - DEBUG - http://www.normalwebsite.com:80 "HEAD /cgi-sys.zip HTTP/1.1" 404 0
23-Mar-22 00:09:23 - urllib3.connectionpool - DEBUG - Starting new HTTP connection (1): www.normalwebsite.com:80
23-Mar-22 00:09:23 - urllib3.connectionpool - DEBUG - http://www.normalwebsite.com:80 "HEAD /cgi-sys.bak/ HTTP/1.1" 404 0
23-Mar-22 00:09:23 - urllib3.connectionpool - DEBUG - Starting new HTTP connection (1): www.normalwebsite.com:80
23-Mar-22 00:09:23 - urllib3.connectionpool - DEBUG - http://www.normalwebsite.com:80 "HEAD /cgi-sys.old/ HTTP/1.1" 404 0
23-Mar-22 00:09:23 - urllib3.connectionpool - DEBUG - Starting new HTTP connection (1): www.normalwebsite.com:80
23-Mar-22 00:09:24 - urllib3.connectionpool - DEBUG - http://www.normalwebsite.com:80 "HEAD /cgi-sys_old/ HTTP/1.1" 404 0
23-Mar-22 00:09:24 - urllib3.connectionpool - DEBUG - http://www.normalwebsite.com:80 "HEAD /cgi-sys.bac/ HTTP/1.1" 404 0
23-Mar-22 00:09:24 - urllib3.connectionpool - DEBUG - Starting new HTTP connection (1): www.normalwebsite.com:80
23-Mar-22 00:09:24 - urllib3.connectionpool - DEBUG - Starting new HTTP connection (1): www.normalwebsite.com:80
23-Mar-22 00:09:24 - urllib3.connectionpool - DEBUG - http://www.normalwebsite.com:80 "HEAD /cgi-sys.backup/ HTTP/1.1" 404 0
23-Mar-22 00:09:24 - urllib3.connectionpool - DEBUG - Starting new HTTP connection (1): www.normalwebsite.com:80
23-Mar-22 00:09:24 - urllib3.connectionpool - DEBUG - http://www.normalwebsite.com:80 "HEAD /cgi-sys_bak/ HTTP/1.1" 404 0
23-Mar-22 00:09:24 - urllib3.connectionpool - DEBUG - Starting new HTTP connection (1): www.normalwebsite.com:80
23-Mar-22 00:09:24 - urllib3.connectionpool - DEBUG - http://www.normalwebsite.com:80 "HEAD /cgi-sys1/ HTTP/1.1" 404 0
23-Mar-22 00:09:24 - urllib3.connectionpool - DEBUG - Starting new HTTP connection (1): www.normalwebsite.com:80
23-Mar-22 00:09:24 - urllib3.connectionpool - DEBUG - http://www.normalwebsite.com:80 "HEAD /cgi-sys2/ HTTP/1.1" 404 0
23-Mar-22 00:09:24 - urllib3.connectionpool - DEBUG - Starting new HTTP connection (1): www.normalwebsite.com:80
23-Mar-22 00:09:24 - urllib3.connectionpool - DEBUG - http://www.normalwebsite.com:80 "HEAD /cgi-sys_backup/ HTTP/1.1" 404 0
23-Mar-22 00:09:24 - urllib3.connectionpool - DEBUG - Starting new HTTP connection (1): www.normalwebsite.com:80
23-Mar-22 00:09:24 - urllib3.connectionpool - DEBUG - http://www.normalwebsite.com:80 "HEAD /mailman~/ HTTP/1.1" 404 0
23-Mar-22 00:09:24 - urllib3.connectionpool - DEBUG - Starting new HTTP connection (1): www.normalwebsite.com:80
23-Mar-22 00:09:24 - urllib3.connectionpool - DEBUG - http://www.normalwebsite.com:80 "HEAD /mailman.rar HTTP/1.1" 404 0
23-Mar-22 00:09:24 - urllib3.connectionpool - DEBUG - Starting new HTTP connection (1): www.normalwebsite.com:80
23-Mar-22 00:09:24 - urllib3.connectionpool - DEBUG - http://www.normalwebsite.com:80 "HEAD /mailman.tar HTTP/1.1" 404 0
23-Mar-22 00:09:24 - urllib3.connectionpool - DEBUG - Starting new HTTP connection (1): www.normalwebsite.com:80
23-Mar-22 00:09:24 - urllib3.connectionpool - DEBUG - http://www.normalwebsite.com:80 "HEAD /mailman.zip HTTP/1.1" 404 0
23-Mar-22 00:09:24 - urllib3.connectionpool - DEBUG - Starting new HTTP connection (1): www.normalwebsite.com:80
23-Mar-22 00:09:25 - urllib3.connectionpool - DEBUG - http://www.normalwebsite.com:80 "HEAD /mailman.old/ HTTP/1.1" 404 0
23-Mar-22 00:09:25 - urllib3.connectionpool - DEBUG - Starting new HTTP connection (1): www.normalwebsite.com:80
23-Mar-22 00:09:25 - urllib3.connectionpool - DEBUG - http://www.normalwebsite.com:80 "HEAD /mailman.bak/ HTTP/1.1" 404 0
23-Mar-22 00:09:25 - urllib3.connectionpool - DEBUG - Starting new HTTP connection (1): www.normalwebsite.com:80
23-Mar-22 00:09:25 - urllib3.connectionpool - DEBUG - http://www.normalwebsite.com:80 "HEAD /mailman.bac/ HTTP/1.1" 404 0
23-Mar-22 00:09:25 - urllib3.connectionpool - DEBUG - Starting new HTTP connection (1): www.normalwebsite.com:80
23-Mar-22 00:09:25 - urllib3.connectionpool - DEBUG - http://www.normalwebsite.com:80 "HEAD /mailman.backup/ HTTP/1.1" 404 0
23-Mar-22 00:09:25 - urllib3.connectionpool - DEBUG - Starting new HTTP connection (1): www.normalwebsite.com:80
23-Mar-22 00:09:25 - urllib3.connectionpool - DEBUG - http://www.normalwebsite.com:80 "HEAD /mailman_old/ HTTP/1.1" 404 0
23-Mar-22 00:09:25 - urllib3.connectionpool - DEBUG - Starting new HTTP connection (1): www.normalwebsite.com:80
23-Mar-22 00:09:25 - urllib3.connectionpool - DEBUG - http://www.normalwebsite.com:80 "HEAD /mailman_bak/ HTTP/1.1" 404 0
23-Mar-22 00:09:25 - urllib3.connectionpool - DEBUG - Starting new HTTP connection (1): www.normalwebsite.com:80
23-Mar-22 00:09:25 - urllib3.connectionpool - DEBUG - http://www.normalwebsite.com:80 "HEAD /mailman_backup/ HTTP/1.1" 404 0
23-Mar-22 00:09:25 - urllib3.connectionpool - DEBUG - Starting new HTTP connection (1): www.normalwebsite.com:80
23-Mar-22 00:09:25 - urllib3.connectionpool - DEBUG - http://www.normalwebsite.com:80 "HEAD /mailman1/ HTTP/1.1" 404 0
23-Mar-22 00:09:25 - urllib3.connectionpool - DEBUG - Starting new HTTP connection (1): www.normalwebsite.com:80
23-Mar-22 00:09:25 - urllib3.connectionpool - DEBUG - http://www.normalwebsite.com:80 "HEAD /mailman2/ HTTP/1.1" 404 0
23-Mar-22 00:09:25 - urllib3.connectionpool - DEBUG - Starting new HTTP connection (1): www.normalwebsite.com:80
23-Mar-22 00:09:25 - urllib3.connectionpool - DEBUG - http://www.normalwebsite.com:80 "HEAD /iishelp~/ HTTP/1.1" 404 0
23-Mar-22 00:09:25 - urllib3.connectionpool - DEBUG - Starting new HTTP connection (1): www.normalwebsite.com:80
23-Mar-22 00:09:25 - urllib3.connectionpool - DEBUG - http://www.normalwebsite.com:80 "HEAD /iishelp.zip HTTP/1.1" 404 0
23-Mar-22 00:09:25 - urllib3.connectionpool - DEBUG - Starting new HTTP connection (1): www.normalwebsite.com:80
23-Mar-22 00:09:25 - urllib3.connectionpool - DEBUG - http://www.normalwebsite.com:80 "HEAD /iishelp.tar HTTP/1.1" 404 0
23-Mar-22 00:09:25 - urllib3.connectionpool - DEBUG - Starting new HTTP connection (1): www.normalwebsite.com:80
23-Mar-22 00:09:25 - urllib3.connectionpool - DEBUG - http://www.normalwebsite.com:80 "HEAD /iishelp.rar HTTP/1.1" 404 0
23-Mar-22 00:09:25 - urllib3.connectionpool - DEBUG - Starting new HTTP connection (1): www.normalwebsite.com:80
23-Mar-22 00:09:26 - urllib3.connectionpool - DEBUG - http://www.normalwebsite.com:80 "HEAD /iishelp.old/ HTTP/1.1" 404 0
23-Mar-22 00:09:26 - urllib3.connectionpool - DEBUG - Starting new HTTP connection (1): www.normalwebsite.com:80
23-Mar-22 00:09:26 - urllib3.connectionpool - DEBUG - http://www.normalwebsite.com:80 "HEAD /iishelp.bac/ HTTP/1.1" 404 0
23-Mar-22 00:09:26 - urllib3.connectionpool - DEBUG - Starting new HTTP connection (1): www.normalwebsite.com:80
23-Mar-22 00:09:26 - urllib3.connectionpool - DEBUG - http://www.normalwebsite.com:80 "HEAD /iishelp.bak/ HTTP/1.1" 404 0
23-Mar-22 00:09:26 - urllib3.connectionpool - DEBUG - Starting new HTTP connection (1): www.normalwebsite.com:80
23-Mar-22 00:09:26 - urllib3.connectionpool - DEBUG - http://www.normalwebsite.com:80 "HEAD /iishelp.backup/ HTTP/1.1" 404 0
23-Mar-22 00:09:26 - urllib3.connectionpool - DEBUG - Starting new HTTP connection (1): www.normalwebsite.com:80
23-Mar-22 00:09:26 - urllib3.connectionpool - DEBUG - http://www.normalwebsite.com:80 "HEAD /iishelp_old/ HTTP/1.1" 404 0
23-Mar-22 00:09:26 - urllib3.connectionpool - DEBUG - Starting new HTTP connection (1): www.normalwebsite.com:80
23-Mar-22 00:09:26 - urllib3.connectionpool - DEBUG - http://www.normalwebsite.com:80 "HEAD /iishelp_bak/ HTTP/1.1" 404 0
23-Mar-22 00:09:26 - urllib3.connectionpool - DEBUG - Starting new HTTP connection (1): www.normalwebsite.com:80
23-Mar-22 00:09:26 - urllib3.connectionpool - DEBUG - http://www.normalwebsite.com:80 "HEAD /iishelp_backup/ HTTP/1.1" 404 0
23-Mar-22 00:09:26 - urllib3.connectionpool - DEBUG - Starting new HTTP connection (1): www.normalwebsite.com:80
23-Mar-22 00:09:26 - urllib3.connectionpool - DEBUG - http://www.normalwebsite.com:80 "HEAD /iishelp1/ HTTP/1.1" 404 0
23-Mar-22 00:09:26 - urllib3.connectionpool - DEBUG - Starting new HTTP connection (1): www.normalwebsite.com:80
23-Mar-22 00:09:26 - urllib3.connectionpool - DEBUG - http://www.normalwebsite.com:80 "HEAD /iishelp2/ HTTP/1.1" 404 0
23-Mar-22 00:09:26 - urllib3.connectionpool - DEBUG - Starting new HTTP connection (1): www.normalwebsite.com:80
23-Mar-22 00:09:26 - urllib3.connectionpool - DEBUG - http://www.normalwebsite.com:80 "HEAD /uploader.tar HTTP/1.1" 404 0
23-Mar-22 00:09:26 - urllib3.connectionpool - DEBUG - Starting new HTTP connection (1): www.normalwebsite.com:80
23-Mar-22 00:09:26 - urllib3.connectionpool - DEBUG - http://www.normalwebsite.com:80 "HEAD /uploader~/ HTTP/1.1" 404 0
23-Mar-22 00:09:26 - urllib3.connectionpool - DEBUG - Starting new HTTP connection (1): www.normalwebsite.com:80
23-Mar-22 00:09:26 - urllib3.connectionpool - DEBUG - http://www.normalwebsite.com:80 "HEAD /uploader.zip HTTP/1.1" 404 0
23-Mar-22 00:09:27 - urllib3.connectionpool - DEBUG - Starting new HTTP connection (1): www.normalwebsite.com:80
23-Mar-22 00:09:27 - urllib3.connectionpool - DEBUG - http://www.normalwebsite.com:80 "HEAD /uploader.rar HTTP/1.1" 404 0
23-Mar-22 00:09:27 - urllib3.connectionpool - DEBUG - Starting new HTTP connection (1): www.normalwebsite.com:80
23-Mar-22 00:09:27 - urllib3.connectionpool - DEBUG - http://www.normalwebsite.com:80 "HEAD /uploader.old/ HTTP/1.1" 404 0
23-Mar-22 00:09:27 - urllib3.connectionpool - DEBUG - Starting new HTTP connection (1): www.normalwebsite.com:80
23-Mar-22 00:09:27 - urllib3.connectionpool - DEBUG - http://www.normalwebsite.com:80 "HEAD /uploader.bak/ HTTP/1.1" 404 0
23-Mar-22 00:09:27 - urllib3.connectionpool - DEBUG - Starting new HTTP connection (1): www.normalwebsite.com:80
23-Mar-22 00:09:27 - urllib3.connectionpool - DEBUG - http://www.normalwebsite.com:80 "HEAD /uploader.bac/ HTTP/1.1" 404 0
23-Mar-22 00:09:27 - urllib3.connectionpool - DEBUG - Starting new HTTP connection (1): www.normalwebsite.com:80
23-Mar-22 00:09:27 - urllib3.connectionpool - DEBUG - http://www.normalwebsite.com:80 "HEAD /uploader.backup/ HTTP/1.1" 404 0
23-Mar-22 00:09:27 - urllib3.connectionpool - DEBUG - Starting new HTTP connection (1): www.normalwebsite.com:80
23-Mar-22 00:09:27 - urllib3.connectionpool - DEBUG - http://www.normalwebsite.com:80 "HEAD /uploader_bak/ HTTP/1.1" 404 0
23-Mar-22 00:09:27 - urllib3.connectionpool - DEBUG - Starting new HTTP connection (1): www.normalwebsite.com:80
23-Mar-22 00:09:27 - urllib3.connectionpool - DEBUG - http://www.normalwebsite.com:80 "HEAD /uploader_old/ HTTP/1.1" 404 0
23-Mar-22 00:09:27 - urllib3.connectionpool - DEBUG - Starting new HTTP connection (1): www.normalwebsite.com:80
23-Mar-22 00:09:27 - urllib3.connectionpool - DEBUG - http://www.normalwebsite.com:80 "HEAD /uploader_backup/ HTTP/1.1" 404 0
23-Mar-22 00:09:27 - urllib3.connectionpool - DEBUG - Starting new HTTP connection (1): www.normalwebsite.com:80
23-Mar-22 00:09:27 - urllib3.connectionpool - DEBUG - http://www.normalwebsite.com:80 "HEAD /uploader1/ HTTP/1.1" 404 0
23-Mar-22 00:09:27 - urllib3.connectionpool - DEBUG - Starting new HTTP connection (1): www.normalwebsite.com:80
23-Mar-22 00:09:27 - urllib3.connectionpool - DEBUG - http://www.normalwebsite.com:80 "HEAD /uploader2/ HTTP/1.1" 404 0
23-Mar-22 00:09:27 - urllib3.connectionpool - DEBUG - Starting new HTTP connection (1): www.normalwebsite.com:80
23-Mar-22 00:09:27 - urllib3.connectionpool - DEBUG - http://www.normalwebsite.com:80 "HEAD /uploads.tar HTTP/1.1" 404 0
23-Mar-22 00:09:27 - urllib3.connectionpool - DEBUG - Starting new HTTP connection (1): www.normalwebsite.com:80
